ID,Warrior,Name_KOR,Name_ENG,Desc_ENG,Desc_KOR,IconIndex,Type,Prerequisites,
0,Sommer,비몽사몽 타격,Hazy Strike,Your melee attack becomes stronger and elicits Drowsiness. You create a cloud of Drowsiness-inflicting smoke where you hit a combo attack.,근거리 공격이 더 강해지며 졸음을 유발합니다.<br>강화 공격마다 자리에 졸음을 유발하는 가루를 생성합니다.,0,Melee,,
1,Sommer,잠으로의 초대,An Invitation to Slumber,Your ranged attack becomes stronger and elicits Drowsiness. You create a cloud of Drowsiness-inflicting smoke where the bullet hits.,원거리 공격이 더 강해지며 졸음을 유발합니다.<br>탄환이 사라진 자리에 졸음을 유발하는 가루를 생성합니다.,4,Ranged,,
2,Sommer,졸음 대쉬,Dash of Drowse,Your dash creates a cloud of Drowsiness-inflicting smoke behind you.,대쉬시 졸음을 유발하는 가루를 남깁니다.,8,Dash,,
3,Sommer,꿈 엘릭서,Elixir of Dreams,The effectiveness of health items by improving your quality of rest increases.,수면의 질을 높여 회복 아이템의 효율이 증가합니다.,48,Passive,,
4,Sommer,무기력한 자장가,Listless Lullaby,Increase the chances of rare item drops from enemies.,적이 희귀 아이템을 떨어트릴 확률이 증가합니다.,68,Passive,,
5,Sommer,깊은 수면으로의 초대,An Invitation to Deep Slumber,Decrease the defense of the enemies in Slumber.,수면 상태에 빠진 적의 방어력이 감소합니다.,124,Passive,"0,1,2",
6,Sommer,입면 환각,Hypnagogic Hallucination,Your attack against enemies without Drowsiness becomes stronger and enemies receive extra damage when its stack depletes to 0.,졸음 스택이 없는 적을 대상으로 한 공격이 강해집니다.<br>적이 졸음 스택이 0이 될 때 추가로 데미지를 줍니다.,70,Passive,"0,1,2",
7,Sommer,수면 강풍,Gust of Slumber,Your cloud of Drowsiness-inflicting smoke increases in area.,졸음 유발 가루의 범위가 커집니다.,151,Passive,"0,1,2",
8,Euphoria,헤롱헤롱 타격,Dazed Strike,Your melee attack is stronger and elicits Ecstacy.,근거리 공격이 더 강해지며 적에게 황홀경을 부여합니다.,1,Melee,,
9,Euphoria,황홀한 탄환,Rapturous Bullet,Your ranged attack does weak damage and pulls enemies towards you. Elicits Ecstacy by chance.,원거리 공격이 상대에게 약한 데미지를 주고 플레이어 방향으로 끌어옵니다. 확률적으로 황홀경을 유발합니다.,5,Ranged,,
