ID,Warrior,Name_KOR,Name_ENG,Desc_ENG,Desc_KOR,IconIndex,Type,Prerequisites
0,Sommer,비몽사몽 타격,BmongSmong,Your Melee is stronger and inflicts Sommer.<br>Combo attack leaves a drowsy powder.,근거리 공격이 더 강해지며 졸음을 유발합니다.<br>강화 공격마다 자리에 졸음을 유발하는 가루를 생성합니다.,1,Melee,
1,Sommer,잠으로의 초대,Sleep,Your Ranged is stronger and inflicts Sommer.<br>Bullet leaves a drowsy powder when it hits.,원거리 공격이 더 강해지며 졸음을 유발합니다.<br>탄환이 사라진 자리에 졸음을 유발하는 가루를 생성합니다.,2,Ranged,
2,Sommer,졸음 대쉬,Sleepy,Your Dash leaves a drowsy powder in its way.,대쉬시 졸음을 유발하는 가루를 남깁니다.,3,Dash,
3,Sommer,꿈 엘릭서,Dream,Any recovery items are more potent.,수면의 질을 높여 회복 아이템의 효율이 증가합니다.,4,Passive,
4,Sommer,무기력한 자장가,Lula,Enemies drop rare items more often.,적이 희귀 아이템을 떨어트릴 확률이 증가합니다.,5,Passive,
5,Sommer,깊은 수면으로의 초대,Deep,Sleeping enemies have reduced armour.,수면 상태에 빠진 적의 방어력이 감소합니다.,6,Passive,
6,Sommer,입면 환각,Yipmyun,Attacks against enemies with no Drowsiness stacks are stronger.<br>Deals additional damage when an enemy reaches 0 Drowsiness Stacks.,졸음 스택이 없는 적을 대상으로 한 공격이 강해집니다.<br>적이 졸음 스택이 0이 될 때 추가로 데미지를 줍니다.,7,Passive,
7,Sommer,수면 강풍,Soomyun,Increases the effect range of drowsy powder.,졸음 유발 가루의 범위가 커집니다.,8,Passive,
8,Euphoria,헤롱헤롱 타격,Herong,,근거리 공격이 더 강해지며 적에게 황홀경을 부여합니다.,9,Melee,
9,Euphoria,황홀한 탄환,hol,,원거리 공격이 상대에게 약한 데미지를 주고 플레이어 방향으로 끌어옵니다. 확률적으로 황홀경을 유발합니다.,10,Ranged,
10,Euphoria,화려한 대쉬,dash,,대쉬 중 닿은 적에게 데미지를 주고 확률적으로 황홀경을 유발합니다.,11,Dash,
11,Euphoria,뇌쇄술,alcohol,,황홀경에 빠진 적에게서 얻는 버프가 더 강력해집니다.,12,Passive,
12,Euphoria,사랑의 착취,love,,적이 더 많은 돈을 떨어트릴 확률이 증가합니다.,13,Passive,
13,Euphoria,유포리아식 위계질서,south,,황홀경에 빠진 적의 종류에 따라 다양한 버프를 받습니다.,14,Passive,
14,Euphoria,피의 갑주,blood,,체력이 x% 이하로 내려가면 이번 게임에 처치한 몹의 수에 비례해 방어력이 상승합니다.,15,Passive,
15,Euphoria,자발적 투항,hang,,유포리아의 가호로 방어 관통력이 상승합니다.,16,Passive,
